section,vendor_slug,vendor_name,domain,canonical_url,plan,monthly_usd,minutes_included,calls_included,overage_per_min,overage_per_call,annual_discount_pct,setup_fee_usd,billing_model,hipaa,baa,bilingual,integrations,quote_only,source_url,accessed_at,corroboration_url,corroboration_accessed_at
ai-receptionists,goodcall,Goodcall,goodcall.com,https://frontdeskreview.com/ai-receptionists/vendors/goodcall/,Starter,79,,,,,15,,flat,unknown,unknown,unknown,Zapier; Google Voice,no,https://www.goodcall.com/pricing,2026-06-10,,
ai-receptionists,goodcall,Goodcall,goodcall.com,https://frontdeskreview.com/ai-receptionists/vendors/goodcall/,Growth,129,,,,,15,,flat,unknown,unknown,unknown,Zapier; Google Voice,no,https://www.goodcall.com/pricing,2026-06-10,,
ai-receptionists,goodcall,Goodcall,goodcall.com,https://frontdeskreview.com/ai-receptionists/vendors/goodcall/,Scale,249,,,,,15,,flat,unknown,unknown,unknown,Zapier; Google Voice,no,https://www.goodcall.com/pricing,2026-06-10,,
ai-receptionists,rosie,Rosie,heyrosie.com,https://frontdeskreview.com/ai-receptionists/vendors/rosie/,Professional,49,250,,,,17,,flat,unknown,unknown,yes,Zapier; Google Calendar,no,https://heyrosie.com/pricing,2026-06-10,,
ai-receptionists,rosie,Rosie,heyrosie.com,https://frontdeskreview.com/ai-receptionists/vendors/rosie/,Scale,149,1000,,,,,,flat,unknown,unknown,yes,Zapier; Google Calendar,no,https://heyrosie.com/pricing,2026-06-10,,
ai-receptionists,rosie,Rosie,heyrosie.com,https://frontdeskreview.com/ai-receptionists/vendors/rosie/,Growth,299,2000,,,,,,flat,unknown,unknown,yes,Zapier; Google Calendar,no,https://heyrosie.com/pricing,2026-06-10,,
ai-receptionists,smith-ai,Smith.ai,smith.ai,https://frontdeskreview.com/ai-receptionists/vendors/smith-ai/,Starter (self-service),95,,30,,2.4,,,per_call,unknown,unknown,unknown,Clio; Calendly,no,https://smith.ai/pricing/ai-receptionist,2026-06-10,,
ai-receptionists,smith-ai,Smith.ai,smith.ai,https://frontdeskreview.com/ai-receptionists/vendors/smith-ai/,Basic (self-service),270,,90,,2.4,,,per_call,unknown,unknown,unknown,Clio; Calendly,no,https://smith.ai/pricing/ai-receptionist,2026-06-10,,
ai-receptionists,smith-ai,Smith.ai,smith.ai,https://frontdeskreview.com/ai-receptionists/vendors/smith-ai/,Pro (self-service),800,,300,,2.4,,,per_call,unknown,unknown,unknown,Clio; Calendly,no,https://smith.ai/pricing/ai-receptionist,2026-06-10,,
ai-receptionists,dialzara,Dialzara,dialzara.com,https://frontdeskreview.com/ai-receptionists/vendors/dialzara/,Business Lite,29,60,,0.48,,,,flat,unknown,unknown,yes,Zapier; CRM; Calendar,no,https://dialzara.com/pricing,2026-06-10,,
ai-receptionists,dialzara,Dialzara,dialzara.com,https://frontdeskreview.com/ai-receptionists/vendors/dialzara/,Business Pro,99,220,,0.45,,,,flat,unknown,unknown,yes,Zapier; CRM; Calendar,no,https://dialzara.com/pricing,2026-06-10,,
ai-receptionists,dialzara,Dialzara,dialzara.com,https://frontdeskreview.com/ai-receptionists/vendors/dialzara/,Business Plus,199,500,,0.4,,,,flat,unknown,unknown,yes,Zapier; CRM; Calendar,no,https://dialzara.com/pricing,2026-06-10,,
ai-receptionists,dialzara,Dialzara,dialzara.com,https://frontdeskreview.com/ai-receptionists/vendors/dialzara/,Business Elite,349,1000,,0.35,,,,flat,unknown,unknown,yes,Zapier; CRM; Calendar,no,https://dialzara.com/pricing,2026-06-10,,
ai-receptionists,synthflow,Synthflow,synthflow.ai,https://frontdeskreview.com/ai-receptionists/vendors/synthflow/,Pay As You Go,0,,,0.09,,,,per_minute,unknown,unknown,unknown,Cal.com; GoHighLevel; HubSpot; Salesforce; Zapier,no,https://synthflow.ai/pricing,2026-06-10,,
ai-receptionists,slang,Slang.ai,slang.ai,https://frontdeskreview.com/ai-receptionists/vendors/slang/,Core,399,,,,,,,flat,unknown,unknown,yes,OpenTable; SevenRooms; Yelp; Tripleseat,no,https://www.slang.ai/pricing,2026-06-10,,
ai-receptionists,slang,Slang.ai,slang.ai,https://frontdeskreview.com/ai-receptionists/vendors/slang/,Premium,599,,,,,,,flat,unknown,unknown,yes,OpenTable; SevenRooms; Yelp; Tripleseat,no,https://www.slang.ai/pricing,2026-06-10,,
ai-receptionists,phonely,Phonely,phonely.ai,https://frontdeskreview.com/ai-receptionists/vendors/phonely/,Free,0,100,,,,,,flat,yes,yes,unknown,Prebuilt integrations; Custom integrations (Enterprise),no,https://www.phonely.ai/pricing,2026-06-10,,
ai-receptionists,phonely,Phonely,phonely.ai,https://frontdeskreview.com/ai-receptionists/vendors/phonely/,Starter,50,250,,0.3,,34,,flat,yes,yes,unknown,Prebuilt integrations; Custom integrations (Enterprise),no,https://www.phonely.ai/pricing,2026-06-10,,
ai-receptionists,phonely,Phonely,phonely.ai,https://frontdeskreview.com/ai-receptionists/vendors/phonely/,Pro,150,750,,0.3,,33,,flat,yes,yes,unknown,Prebuilt integrations; Custom integrations (Enterprise),no,https://www.phonely.ai/pricing,2026-06-10,,
ai-receptionists,thoughtly,Thoughtly,thoughtly.com,https://frontdeskreview.com/ai-receptionists/vendors/thoughtly/,Flex,500,,,,,,,flat,unknown,unknown,yes,200+ integrations; REST API; Two-way CRM sync,no,https://thoughtly.com/pricing,2026-06-10,,
ai-receptionists,upfirst,Upfirst,upfirst.ai,https://frontdeskreview.com/ai-receptionists/vendors/upfirst/,Starter,24.95,,30,,1.5,20,,per_call,unknown,unknown,yes,Google Calendar; Outlook; Clio; Acuity; HubSpot; Salesforce; Pipedrive; GoHighLevel,no,https://upfirst.ai/pricing,2026-06-10,,
ai-receptionists,upfirst,Upfirst,upfirst.ai,https://frontdeskreview.com/ai-receptionists/vendors/upfirst/,Premium,59.95,,90,,1,20,,per_call,unknown,unknown,yes,Google Calendar; Outlook; Clio; Acuity; HubSpot; Salesforce; Pipedrive; GoHighLevel,no,https://upfirst.ai/pricing,2026-06-10,,
ai-receptionists,upfirst,Upfirst,upfirst.ai,https://frontdeskreview.com/ai-receptionists/vendors/upfirst/,Pro,159.95,,300,,0.75,20,,per_call,unknown,unknown,yes,Google Calendar; Outlook; Clio; Acuity; HubSpot; Salesforce; Pipedrive; GoHighLevel,no,https://upfirst.ai/pricing,2026-06-10,,
ai-receptionists,upfirst,Upfirst,upfirst.ai,https://frontdeskreview.com/ai-receptionists/vendors/upfirst/,Scale,299,,600,,0.7,20,,per_call,unknown,unknown,yes,Google Calendar; Outlook; Clio; Acuity; HubSpot; Salesforce; Pipedrive; GoHighLevel,no,https://upfirst.ai/pricing,2026-06-10,,
ai-receptionists,my-ai-front-desk,My AI Front Desk,myaifrontdesk.com,https://frontdeskreview.com/ai-receptionists/vendors/my-ai-front-desk/,Free,0,20,,0.25,,,,flat,unknown,unknown,yes,Zapier; API (Enterprise),no,https://www.myaifrontdesk.com/pricing,2026-06-10,,
ai-receptionists,my-ai-front-desk,My AI Front Desk,myaifrontdesk.com,https://frontdeskreview.com/ai-receptionists/vendors/my-ai-front-desk/,Business-in-a-Box,99,200,,0.25,,20,,flat,unknown,unknown,yes,Zapier; API (Enterprise),no,https://www.myaifrontdesk.com/pricing,2026-06-10,,
ai-receptionists,trillet,Trillet,trillet.ai,https://frontdeskreview.com/ai-receptionists/vendors/trillet/,Studio,99,100,,0.12,,,,flat,yes,unknown,unknown,Google Calendar; Cal.com; GoHighLevel; HubSpot; Meta lead forms; Stripe; Webhooks,no,https://www.trillet.ai/pricing,2026-06-10,,
ai-receptionists,trillet,Trillet,trillet.ai,https://frontdeskreview.com/ai-receptionists/vendors/trillet/,Agency,299,300,,0.12,,,,flat,yes,unknown,unknown,Google Calendar; Cal.com; GoHighLevel; HubSpot; Meta lead forms; Stripe; Webhooks,no,https://www.trillet.ai/pricing,2026-06-10,,
ai-receptionists,nextphone,NextPhone,getnextphone.com,https://frontdeskreview.com/ai-receptionists/vendors/nextphone/,Pro,199,,,,,17,,flat,unknown,unknown,unknown,100+ integrations,no,https://www.getnextphone.com/pricing,2026-06-10,,
ai-receptionists,nextphone,NextPhone,getnextphone.com,https://frontdeskreview.com/ai-receptionists/vendors/nextphone/,Growth,299,,,,,17,,flat,unknown,unknown,unknown,100+ integrations,no,https://www.getnextphone.com/pricing,2026-06-10,,
ai-receptionists,serviceagent,ServiceAgent,serviceagent.ai,https://frontdeskreview.com/ai-receptionists/vendors/serviceagent/,Core,39,133,,0.15,,20,,flat,unknown,unknown,unknown,,no,https://serviceagent.ai/pricing,2026-06-10,,
ai-receptionists,serviceagent,ServiceAgent,serviceagent.ai,https://frontdeskreview.com/ai-receptionists/vendors/serviceagent/,Growth,95,400,,0.15,,20,,flat,unknown,unknown,unknown,,no,https://serviceagent.ai/pricing,2026-06-10,,
ai-receptionists,serviceagent,ServiceAgent,serviceagent.ai,https://frontdeskreview.com/ai-receptionists/vendors/serviceagent/,Franchise,279,1333,,0.15,,20,,flat,unknown,unknown,unknown,,no,https://serviceagent.ai/pricing,2026-06-10,,
ai-receptionists,loman,Loman,loman.ai,https://frontdeskreview.com/ai-receptionists/vendors/loman/,Starter,199,,,,,,149,flat,unknown,unknown,unknown,Toast; SpotOn; Clover; Square; Olo; OpenTable,no,https://loman.ai/pricing,2026-06-10,,
ai-receptionists,loman,Loman,loman.ai,https://frontdeskreview.com/ai-receptionists/vendors/loman/,Premium,399,,,,,,149,flat,unknown,unknown,unknown,Toast; SpotOn; Clover; Square; Olo; OpenTable,no,https://loman.ai/pricing,2026-06-10,,
ai-receptionists,vapi,Vapi,vapi.ai,https://frontdeskreview.com/ai-receptionists/vendors/vapi/,Build (Pay As You Go),0,,,0.05,,,,per_minute,yes,yes,unknown,BYO LLM/STT/TTS; Twilio; Telnyx; Custom SIP,no,https://vapi.ai/pricing,2026-06-10,,
ai-receptionists,bland,Bland,bland.ai,https://frontdeskreview.com/ai-receptionists/vendors/bland/,Start (Free),0,,,0.14,,,,per_minute,yes,yes,unknown,PSTN; SIP; BYO telephony,no,https://www.bland.ai/pricing,2026-06-10,,
ai-receptionists,bland,Bland,bland.ai,https://frontdeskreview.com/ai-receptionists/vendors/bland/,Build,299,,,0.12,,,,per_minute,yes,yes,unknown,PSTN; SIP; BYO telephony,no,https://www.bland.ai/pricing,2026-06-10,,
ai-receptionists,bland,Bland,bland.ai,https://frontdeskreview.com/ai-receptionists/vendors/bland/,Scale,499,,,0.11,,,,per_minute,yes,yes,unknown,PSTN; SIP; BYO telephony,no,https://www.bland.ai/pricing,2026-06-10,,
ai-receptionists,retell,Retell AI,retellai.com,https://frontdeskreview.com/ai-receptionists/vendors/retell/,Pay As You Go,0,,,0.07,,,,per_minute,yes,yes,unknown,BYO LLM; Twilio; Telnyx; Custom SIP; Knowledge Base,no,https://www.retellai.com/pricing,2026-06-10,,
ai-receptionists,aira,AIRA,getaira.io,https://frontdeskreview.com/ai-receptionists/vendors/aira/,Starter,24.95,,30,,1.5,20,,per_call,unknown,unknown,yes,Google Calendar; Salesforce; HubSpot; QuickBooks; Slack; GoHighLevel; Zapier,no,https://www.getaira.io/pricing,2026-06-10,,
ai-receptionists,aira,AIRA,getaira.io,https://frontdeskreview.com/ai-receptionists/vendors/aira/,Premium,59.95,,90,,1,20,,per_call,unknown,unknown,yes,Google Calendar; Salesforce; HubSpot; QuickBooks; Slack; GoHighLevel; Zapier,no,https://www.getaira.io/pricing,2026-06-10,,
ai-receptionists,aira,AIRA,getaira.io,https://frontdeskreview.com/ai-receptionists/vendors/aira/,Pro,159.95,,300,,0.75,20,,per_call,unknown,unknown,yes,Google Calendar; Salesforce; HubSpot; QuickBooks; Slack; GoHighLevel; Zapier,no,https://www.getaira.io/pricing,2026-06-10,,
ai-receptionists,aira,AIRA,getaira.io,https://frontdeskreview.com/ai-receptionists/vendors/aira/,Scale,299,,600,,0.7,20,,per_call,unknown,unknown,yes,Google Calendar; Salesforce; HubSpot; QuickBooks; Slack; GoHighLevel; Zapier,no,https://www.getaira.io/pricing,2026-06-10,,
ai-receptionists,simple-phones,Simple Phones,simplephones.ai,https://frontdeskreview.com/ai-receptionists/vendors/simple-phones/,Starter,97,,100,,,,,per_call,unknown,unknown,unknown,Zapier; CRM,no,https://www.simplephones.ai/pricing,2026-06-10,,
ai-receptionists,ruby,Ruby,ruby.com,https://frontdeskreview.com/ai-receptionists/vendors/ruby/,50 minutes,235,235,,,,,,per_minute,unknown,unknown,yes,Clio; Rocket Matter; Zapier,no,https://www.ruby.com/plans-and-pricing/,2026-06-10,,
ai-receptionists,ruby,Ruby,ruby.com,https://frontdeskreview.com/ai-receptionists/vendors/ruby/,200 minutes,375,200,,,,,,per_minute,unknown,unknown,yes,Clio; Rocket Matter; Zapier,no,https://www.ruby.com/plans-and-pricing/,2026-06-10,,
ai-receptionists,ruby,Ruby,ruby.com,https://frontdeskreview.com/ai-receptionists/vendors/ruby/,350 minutes,575,350,,,,,,per_minute,unknown,unknown,yes,Clio; Rocket Matter; Zapier,no,https://www.ruby.com/plans-and-pricing/,2026-06-10,,
ai-receptionists,ruby,Ruby,ruby.com,https://frontdeskreview.com/ai-receptionists/vendors/ruby/,500 minutes,720,500,,,,,,per_minute,unknown,unknown,yes,Clio; Rocket Matter; Zapier,no,https://www.ruby.com/plans-and-pricing/,2026-06-10,,
ai-receptionists,patlive,PATLive,patlive.com,https://frontdeskreview.com/ai-receptionists/vendors/patlive/,Basic,75,0,,2.6,,,,per_minute,unknown,unknown,yes,,no,https://www.patlive.com/pricing,2026-06-10,,
ai-receptionists,patlive,PATLive,patlive.com,https://frontdeskreview.com/ai-receptionists/vendors/patlive/,Starter,250,75,,2.35,,,,per_minute,unknown,unknown,yes,,no,https://www.patlive.com/pricing,2026-06-10,,
ai-receptionists,patlive,PATLive,patlive.com,https://frontdeskreview.com/ai-receptionists/vendors/patlive/,Standard,460,200,,2.2,,,,per_minute,unknown,unknown,yes,,no,https://www.patlive.com/pricing,2026-06-10,,
ai-receptionists,patlive,PATLive,patlive.com,https://frontdeskreview.com/ai-receptionists/vendors/patlive/,Premium,720,350,,2.1,,,,per_minute,unknown,unknown,yes,,no,https://www.patlive.com/pricing,2026-06-10,,
ai-receptionists,patlive,PATLive,patlive.com,https://frontdeskreview.com/ai-receptionists/vendors/patlive/,Pro,1170,600,,2,,,,per_minute,unknown,unknown,yes,,no,https://www.patlive.com/pricing,2026-06-10,,
ai-receptionists,receptionhq,ReceptionHQ,receptionhq.com,https://frontdeskreview.com/ai-receptionists/vendors/receptionhq/,MessageExpress,25,,,,1.99,,,per_call,unknown,unknown,yes,,no,https://www.receptionhq.com/pricing/,2026-06-10,,
ai-receptionists,receptionhq,ReceptionHQ,receptionhq.com,https://frontdeskreview.com/ai-receptionists/vendors/receptionhq/,ReceptionistPlus 15,39,,15,,,,,per_call,unknown,unknown,yes,,no,https://www.receptionhq.com/pricing/,2026-06-10,,
ai-receptionists,answerconnect,AnswerConnect,answerconnect.com,https://frontdeskreview.com/ai-receptionists/vendors/answerconnect/,,,,,,,,,,unknown,unknown,yes,Zapier; HubSpot; Salesforce,yes,,,,
ai-receptionists,abby-connect,Abby Connect,abby.com,https://frontdeskreview.com/ai-receptionists/vendors/abby-connect/,AI Starter,99,50,,,,,,flat,unknown,unknown,yes,Zapier; Clio,no,https://www.abby.com/pricing/,2026-06-10,,
ai-receptionists,abby-connect,Abby Connect,abby.com,https://frontdeskreview.com/ai-receptionists/vendors/abby-connect/,AI Essential,165,100,,,,,,flat,unknown,unknown,yes,Zapier; Clio,no,https://www.abby.com/pricing/,2026-06-10,,
ai-receptionists,abby-connect,Abby Connect,abby.com,https://frontdeskreview.com/ai-receptionists/vendors/abby-connect/,AI Professional,299,200,,,,,,flat,unknown,unknown,yes,Zapier; Clio,no,https://www.abby.com/pricing/,2026-06-10,,
ai-receptionists,abby-connect,Abby Connect,abby.com,https://frontdeskreview.com/ai-receptionists/vendors/abby-connect/,AI Growth,690,500,,,,,,flat,unknown,unknown,yes,Zapier; Clio,no,https://www.abby.com/pricing/,2026-06-10,,
