theme,kind,vendor_slug,vendor_name,domain,plan_name,monthly_usd,annual_discount_pct,billing_model,setup_fee_usd,minutes_included,calls_included,overage_per_min,overage_per_call,hipaa,baa,soc2,gdpr,free_tier,free_trial_days,key_features,best_for,integrations,source_url,accessed_at,corroboration_url
ab-testing,catalog,optimizely,Optimizely,optimizely.com,Web Experimentation,,,custom,,,,,,,,,,,,,,,https://www.optimizely.com/pricing/,2026-06-14,
ab-testing,catalog,optimizely,Optimizely,optimizely.com,Feature Experimentation,,,custom,,,,,,,,,,,,,,,https://www.optimizely.com/pricing/,2026-06-14,
ab-testing,catalog,vwo,VWO (Visual Website Optimizer),vwo.com,Growth,,,custom,,,,,,,,,,,,,,,https://vwo.com/pricing/,2026-06-14,
ab-testing,catalog,vwo,VWO (Visual Website Optimizer),vwo.com,Pro,,,custom,,,,,,,,,,,,,,,https://vwo.com/pricing/,2026-06-14,
ab-testing,catalog,vwo,VWO (Visual Website Optimizer),vwo.com,Enterprise,,,custom,,,,,,,,,,,,,,,https://vwo.com/pricing/,2026-06-14,
ab-testing,catalog,ab-tasty,AB Tasty,abtasty.com,Experimentation & Personalization Platform,,,custom,,,,,,,,,,,,,,,https://www.abtasty.com/pricing/,2026-06-14,
ab-testing,catalog,convert,Convert Experiences,convert.com,Growth,299,25,flat,,,,,,true,,,,,,,,Google Analytics; Google Analytics 4; Google Tag Manager; Adobe Analytics; Amplitude; Mixpanel; Heap Analytics; Segment; Hotjar; FullStory; Crazy Egg; Lucky Orange; Mouseflow; ContentSquare; Salesforce CRM; HubSpot; Marketo; Klaviyo; Shopify; WooCommerce; Magento; Bigcommerce; Webflow; WordPress; Drupal; Snowplow Analytics; Tealium; mParticle; RudderStack; LogRocket; Microsoft Clarity; Microsoft Power BI; New Relic; Pendo; Typeform; Zapier,https://www.convert.com/pricing/,2026-06-14,https://slashdot.org/software/p/Convert-Experiences/
ab-testing,catalog,convert,Convert Experiences,convert.com,Pro,420,30,flat,,,,,,true,,,,,,,,Google Analytics; Google Analytics 4; Google Tag Manager; Adobe Analytics; Amplitude; Mixpanel; Heap Analytics; Segment; Hotjar; FullStory; Crazy Egg; Lucky Orange; Mouseflow; ContentSquare; Salesforce CRM; HubSpot; Marketo; Klaviyo; Shopify; WooCommerce; Magento; Bigcommerce; Webflow; WordPress; Drupal; Snowplow Analytics; Tealium; mParticle; RudderStack; LogRocket; Microsoft Clarity; Microsoft Power BI; New Relic; Pendo; Typeform; Zapier,https://www.convert.com/pricing/,2026-06-14,https://slashdot.org/software/p/Convert-Experiences/
ab-testing,catalog,convert,Convert Experiences,convert.com,Enterprise,,,custom,,,,,,true,,,,,,,,Google Analytics; Google Analytics 4; Google Tag Manager; Adobe Analytics; Amplitude; Mixpanel; Heap Analytics; Segment; Hotjar; FullStory; Crazy Egg; Lucky Orange; Mouseflow; ContentSquare; Salesforce CRM; HubSpot; Marketo; Klaviyo; Shopify; WooCommerce; Magento; Bigcommerce; Webflow; WordPress; Drupal; Snowplow Analytics; Tealium; mParticle; RudderStack; LogRocket; Microsoft Clarity; Microsoft Power BI; New Relic; Pendo; Typeform; Zapier,https://www.convert.com/pricing/,2026-06-14,
ab-testing,catalog,kameleoon,Kameleoon,kameleoon.com,Platform,,,custom,,,,,,,,,,,,,,,https://www.kameleoon.com/pricing,2026-06-14,
ab-testing,catalog,growthbook,GrowthBook,growthbook.io,Cloud Starter,0,,flat,,,,,,true,true,,,,,,,Snowflake; BigQuery; Redshift; Databricks; Clickhouse; Okta; Azure AD; Slack,https://www.growthbook.io/pricing,2026-06-14,
ab-testing,catalog,growthbook,GrowthBook,growthbook.io,Cloud Pro,40,,per_seat,,,,,,true,true,,,,,,,Snowflake; BigQuery; Redshift; Databricks; Clickhouse; Okta; Azure AD; Slack,https://www.growthbook.io/pricing,2026-06-14,https://slashdot.org/software/p/GrowthBook/
ab-testing,catalog,growthbook,GrowthBook,growthbook.io,Cloud Enterprise,,,custom,,,,,,true,true,,,,,,,Snowflake; BigQuery; Redshift; Databricks; Clickhouse; Okta; Azure AD; Slack,https://www.growthbook.io/pricing,2026-06-14,
ab-testing,catalog,growthbook,GrowthBook,growthbook.io,Self-Hosted Open Source,0,,flat,,,,,,true,true,,,,,,,Snowflake; BigQuery; Redshift; Databricks; Clickhouse; Okta; Azure AD; Slack,https://www.growthbook.io/pricing,2026-06-14,
ab-testing,catalog,growthbook,GrowthBook,growthbook.io,Self-Hosted Enterprise,,,custom,,,,,,true,true,,,,,,,Snowflake; BigQuery; Redshift; Databricks; Clickhouse; Okta; Azure AD; Slack,https://www.growthbook.io/pricing,2026-06-14,
ab-testing,catalog,statsig,Statsig,statsig.com,Developer,0,,flat,,,,,,true,true,,,,,,,Vercel; Amplitude; Bugsnag; Census; Datadog; Discord; Fastly; Fivetran; GitHub; Google Analytics; Heap; Jira; Microsoft Teams; Mixpanel; mParticle; Pulumi; RevenueCat; RudderStack; Segment; Slack; Visual Studio Code; Webhooks; Snowflake; Databricks; BigQuery; Redshift; Athena,https://www.statsig.com/pricing,2026-06-14,
