category,reviewed_products,praised_points,flagged_points,flags_per_praise,flags_per_product,praise_per_product
video-doorbells,9,34,42,1.24,4.67,3.78
wireless-earbuds,5,17,21,1.24,4.20,3.40
case-fans,4,10,12,1.20,3.00,2.50
smart-locks,8,31,37,1.19,4.63,3.88
strollers,8,24,28,1.17,3.50,3.00
portable-speakers,6,19,22,1.16,3.67,3.17
soundbars,7,13,15,1.15,2.14,1.86
docking-stations,7,21,24,1.14,3.43,3.00
smart-scales,4,14,16,1.14,4.00,3.50
upright-vacuums,4,14,16,1.14,4.00,3.50
ellipticals,8,29,33,1.14,4.13,3.63
security-cameras,9,32,36,1.13,4.00,3.56
smart-speakers,10,37,41,1.11,4.10,3.70
portable-ssds,13,41,45,1.10,3.46,3.15
vr-headsets,11,41,45,1.10,4.09,3.73
retro-gaming-handhelds,6,21,23,1.10,3.83,3.50
office-chairs,9,33,36,1.09,4.00,3.67
dash-cams,11,35,38,1.09,3.45,3.18
portable-monitors,10,35,38,1.09,3.80,3.50
juicers,4,12,13,1.08,3.25,3.00
tvs,8,25,27,1.08,3.38,3.13
cars,16,56,60,1.07,3.75,3.50
robot-mops,8,29,31,1.07,3.88,3.63
power-supplies,4,15,16,1.07,4.00,3.75
instant-cameras,9,31,33,1.06,3.67,3.44
pellet-grills,4,16,17,1.06,4.25,4.00
e-ink-tablets,9,34,36,1.06,4.00,3.78
webcams,8,18,19,1.06,2.38,2.25
bike-computers,17,60,63,1.05,3.71,3.53
e-readers,12,40,42,1.05,3.50,3.33
fitness-trackers,12,41,43,1.05,3.58,3.42
monitor-arms,8,21,22,1.05,2.75,2.63
stream-decks,7,21,22,1.05,3.14,3.00
action-cameras,17,66,69,1.05,4.06,3.88
ice-cream-makers,8,23,24,1.04,3.00,2.88
open-ear-earbuds,6,25,26,1.04,4.33,4.17
treadmills,6,26,27,1.04,4.50,4.33
handheld-gaming-pcs,7,27,28,1.04,4.00,3.86
mini-pcs,6,27,28,1.04,4.67,4.50
graphics-cards,9,30,31,1.03,3.44,3.33
camera-drones,19,69,71,1.03,3.74,3.63
smartwatches,9,35,36,1.03,4.00,3.89
mattresses,10,38,39,1.03,3.90,3.80
projectors,11,40,41,1.02,3.73,3.64
air-purifiers,22,68,68,1.00,3.09,3.09
bone-conduction-headphones,12,45,45,1.00,3.75,3.75
coffee-grinders,12,37,37,1.00,3.08,3.08
espresso-machines,10,36,36,1.00,3.60,3.60
exercise-bikes,8,29,29,1.00,3.63,3.63
humidifiers,4,8,8,1.00,2.00,2.00
immersion-blenders,5,13,13,1.00,2.60,2.60
kamado-grills,4,12,12,1.00,3.00,3.00
massage-guns,8,26,26,1.00,3.25,3.25
mirrorless-cameras,8,30,30,1.00,3.75,3.75
multicookers,5,22,22,1.00,4.40,4.40
nas-devices,11,35,35,1.00,3.18,3.18
obd2-scanners,4,12,12,1.00,3.00,3.00
power-racks,7,26,26,1.00,3.71,3.71
robot-vacuums,10,35,35,1.00,3.50,3.50
smart-bulbs,4,15,15,1.00,3.75,3.75
smart-light-switches,6,19,19,1.00,3.17,3.17
smartphones,8,29,29,1.00,3.63,3.63
streaming-devices,8,32,32,1.00,4.00,4.00
air-fryers,19,64,63,0.98,3.32,3.37
blenders,15,51,50,0.98,3.33,3.40
over-ear-headphones,12,49,48,0.98,4.00,4.08
microphones,10,38,37,0.97,3.70,3.80
internal-ssds,10,35,34,0.97,3.40,3.50
hair-dryers,9,34,33,0.97,3.67,3.78
rowing-machines,7,30,29,0.97,4.14,4.29
smart-thermostats,8,30,29,0.97,3.63,3.75
home-printers,8,29,28,0.97,3.50,3.63
wifi-routers,8,26,25,0.96,3.13,3.25
electric-cars,8,25,24,0.96,3.00,3.13
smart-rings,6,23,22,0.96,3.67,3.83
cordless-vacuums,10,44,42,0.95,4.20,4.40
