section,vendor_slug,vendor_name,domain,canonical_url,plan,monthly_usd,minutes_included,calls_included,overage_per_min,overage_per_call,annual_discount_pct,setup_fee_usd,billing_model,hipaa,baa,bilingual,integrations,quote_only,source_url,accessed_at,corroboration_url,corroboration_accessed_at
online-booking,calendly,Calendly,calendly.com,https://frontdeskreview.com/online-booking/vendors/calendly/,Free,0,,,,,,0,flat,unknown,unknown,unknown,Google Calendar; Outlook; Microsoft Teams; Zoom; Google Meet; Stripe; PayPal; HubSpot; Mailchimp; Zapier; Salesforce; Marketo; Pardot; Microsoft Dynamics,no,https://calendly.com/pricing,2026-06-12,https://www.vendr.com/marketplace/calendly,2026-06-12
online-booking,calendly,Calendly,calendly.com,https://frontdeskreview.com/online-booking/vendors/calendly/,Standard,12,,,,,16,0,per_seat,unknown,unknown,unknown,Google Calendar; Outlook; Microsoft Teams; Zoom; Google Meet; Stripe; PayPal; HubSpot; Mailchimp; Zapier; Salesforce; Marketo; Pardot; Microsoft Dynamics,no,https://calendly.com/pricing,2026-06-27,,
online-booking,calendly,Calendly,calendly.com,https://frontdeskreview.com/online-booking/vendors/calendly/,Teams,16,,,,,20,0,per_seat,unknown,unknown,unknown,Google Calendar; Outlook; Microsoft Teams; Zoom; Google Meet; Stripe; PayPal; HubSpot; Mailchimp; Zapier; Salesforce; Marketo; Pardot; Microsoft Dynamics,no,https://calendly.com/pricing,2026-06-12,,
online-booking,calendly,Calendly,calendly.com,https://frontdeskreview.com/online-booking/vendors/calendly/,Enterprise,,,,,,,0,custom,unknown,unknown,unknown,Google Calendar; Outlook; Microsoft Teams; Zoom; Google Meet; Stripe; PayPal; HubSpot; Mailchimp; Zapier; Salesforce; Marketo; Pardot; Microsoft Dynamics,no,https://calendly.com/pricing,2026-06-12,,
online-booking,acuity-scheduling,Acuity Scheduling,acuityscheduling.com,https://frontdeskreview.com/online-booking/vendors/acuity-scheduling/,Starter,20,,,,,20,0,flat,yes,yes,unknown,Google Calendar; Outlook; iCloud; Office 365; Zoom; Google Meet; Stripe; Square; PayPal; Mailchimp; Zapier; QuickBooks,no,https://www.acuityscheduling.com/signup.php,2026-06-27,https://talkspresso.com/acuity-scheduling-pricing/,2026-06-12
online-booking,acuity-scheduling,Acuity Scheduling,acuityscheduling.com,https://frontdeskreview.com/online-booking/vendors/acuity-scheduling/,Standard,34,,,,,20,0,flat,yes,yes,unknown,Google Calendar; Outlook; iCloud; Office 365; Zoom; Google Meet; Stripe; Square; PayPal; Mailchimp; Zapier; QuickBooks,no,https://www.acuityscheduling.com/signup.php,2026-06-12,,
online-booking,acuity-scheduling,Acuity Scheduling,acuityscheduling.com,https://frontdeskreview.com/online-booking/vendors/acuity-scheduling/,Premium,61,,,,,20,0,flat,yes,yes,unknown,Google Calendar; Outlook; iCloud; Office 365; Zoom; Google Meet; Stripe; Square; PayPal; Mailchimp; Zapier; QuickBooks,no,https://www.acuityscheduling.com/signup.php,2026-06-12,,
online-booking,square-appointments,Square Appointments,squareup.com,https://frontdeskreview.com/online-booking/vendors/square-appointments/,Free,0,,,,,,0,flat,unknown,unknown,unknown,Google Calendar; Google; Facebook; Instagram; QuickBooks; Xero; Mailchimp; ActiveCampaign; Wix; WooCommerce; GoDaddy; BigCommerce; Magento; WordPress.com; Ecwid; Groupon; ClassPass; JotForm; Cognito Forms; Homebase; When I Work; Humanity; ZipRecruiter,no,https://squareup.com/us/en/appointments/pricing,2026-06-12,https://glossgenius.com/blog/square-appointments-pricing,2026-06-12
online-booking,square-appointments,Square Appointments,squareup.com,https://frontdeskreview.com/online-booking/vendors/square-appointments/,Plus,49,,,,,,0,flat,unknown,unknown,unknown,Google Calendar; Google; Facebook; Instagram; QuickBooks; Xero; Mailchimp; ActiveCampaign; Wix; WooCommerce; GoDaddy; BigCommerce; Magento; WordPress.com; Ecwid; Groupon; ClassPass; JotForm; Cognito Forms; Homebase; When I Work; Humanity; ZipRecruiter,no,https://glossgenius.com/blog/square-appointments-pricing,2026-06-27,https://koalendar.com/blog/square-appointments-pricing,2026-06-12
online-booking,square-appointments,Square Appointments,squareup.com,https://frontdeskreview.com/online-booking/vendors/square-appointments/,Premium,149,,,,,,0,flat,unknown,unknown,unknown,Google Calendar; Google; Facebook; Instagram; QuickBooks; Xero; Mailchimp; ActiveCampaign; Wix; WooCommerce; GoDaddy; BigCommerce; Magento; WordPress.com; Ecwid; Groupon; ClassPass; JotForm; Cognito Forms; Homebase; When I Work; Humanity; ZipRecruiter,no,https://glossgenius.com/blog/square-appointments-pricing,2026-06-12,https://www.capterra.com/p/170263/Square-Appointments/pricing/,2026-06-12
