category,best_specced_product,its_price_usd,median_price_usd,max_price_usd,premium_gap_pct,spec_score,priced_products
golf-launch-monitors,"Garmin Approach R10",500,999,25995,5099,95,10
thermal-cameras,"TOPDON TC004",299,699,12600,4114,63,13
trolling-motors,"Watersnake T18 ASP",131,3300,5250,3923,95,9
ellipticals,"Sunny Health & Fitness SF-E905",179,1500,4199,2246,95,12
hair-straighteners,"Remington Shine Therapy 2"" Flat Iron (S9531)",38,174,540,1321,95,20
turntables,"Audio-Technica AT-LP60X",179,572,2500,1297,95,16
soldering-stations,"Pine64 Pinecil V2",26,158,352,1254,55,7
pilates-reformers,"AeroPilates Reformer 287",600,3649,7450,1142,77,11
home-safes,"SentrySafe HD4100",80,299,927,1059,95,7
smart-fitness-mirrors,"FITURE Mini",950,2495,10995,1057,95,9
jigsaws,"Black+Decker BDEJS600C 5-Amp Jig Saw",40,197,445,1013,50,10
audio-interfaces,"Komplete Audio 2",99,200,999,909,95,17
vibration-plates,"CV61 Curved 4D Vibration Plate",300,275,2976,892,72,10
two-way-radios,"TIDRADIO TD-H3",25,155,240,860,95,5
toasters,"Black+Decker 4-Slice Toaster TR1478BD",42,130,400,852,95,18
smart-scales,"Renpho Elis 1",25,50,230,820,95,9
miter-saws,"Metabo HPT C10FCGS 10-Inch Single-Bevel Compound Miter Saw",199,564,1799,804,95,12
metal-detectors,"Garrett ACE Apex",580,949,4999,762,77,10
car-speakers,"Kicker CS Series CSC65",80,330,680,750,84,9
telescopes,"Gskyer 80mm AZ Refractor",200,440,1699,750,95,10
kamado-grills,"Char-Griller Akorn Kamado",400,1540,3300,725,95,9
hedge-trimmers,"Sun Joe HJ22HTE 22"" Corded Electric Hedge Trimmer",49,199,400,716,95,12
guitar-amplifiers,"Line 6 Catalyst 200",500,625,3849,670,65,10
rollators,"Carex Crosstour Rolling Walker",200,215,1399,600,86,10
rifle-scopes,"Primary Arms GLx 4-16x50 FFP",700,2550,4800,586,95,8
kitchen-scales,"Taylor Multi-Purpose Digital Kitchen Scale (3831S)",30,39,200,567,95,16
ebike-conversion-kits,"Tongsheng TSDZ2B 48V 500W Mid-Drive Kit",331,494,2195,563,90,9
wireless-access-points,"TP-Link Omada EAP773",200,420,1303,552,95,8
automatic-pet-feeders,"Cat Mate C500 Digital 5-Meal Feeder",46,85,299,550,95,12
carpet-cleaners,"StainStriker Portable Carpet & Furniture Cleaner (PX201)",100,225,650,550,94,16
rice-cookers,"5.0-Qt Rice Cooker with 18 Functions CRC-R501-KUS",100,226,635,535,95,14
gaming-headsets,"SteelSeries Arctis Nova 1",60,200,380,533,95,13
power-racks,"Force USA MyRack Modular Power Rack",500,885,3149,530,95,12
integrated-amplifiers,"Rotel A11 Tribute",799,1100,5000,526,95,7
rowing-machines,"Sunny Health & Fitness SF-RW5515",400,1435,2499,525,95,10
digital-pianos,"Korg B2",500,1099,2999,500,95,8
coffee-makers,"PerfecTemp 14-Cup Programmable Coffeemaker",120,262,699,483,73,16
field-recorders,"Tascam DR-40X",200,369,1150,475,63,9
rooftop-cargo-boxes,"JEGS Rooftop Cargo Carrier",200,850,1150,475,95,7
walking-pads,"GOYOUTH 2-in-1 Under Desk Treadmill",285,293,1599,461,83,12
microphones,"Audio-Technica ATR2100x-USB",79,153,439,456,95,20
string-trimmers,"Worx WG163 GT 3.0 20V 12"" String Trimmer & Wheeled Edger",120,270,664,453,95,11
office-chairs,"ErgoChair Pro",399,1098,2090,424,80,20
cordless-vacuums,"Roborock H60 Ultra",230,635,1199,421,84,14
sewing-machines,"Singer Heavy Duty 4423",230,380,1199,421,60,10
gimbals,"Zhiyun Smooth 5S",169,234,869,414,86,12
satellite-messengers,"Motorola Defy Satellite Link",99,200,500,405,95,8
bassinets,"Nuna SENA Aire",400,280,1999,400,95,19
electric-bikes,"Lectric XP4 750W",1299,1949,6500,400,76,18
electric-toothbrushes,"BURST Pro 2.0 Sonic Toothbrush",80,95,400,400,95,20
vr-headsets,"HTC Vive Pro 2",800,999,4000,400,75,15
baby-monitors,"HelloBaby HB6550 5"" Video Baby Monitor (No WiFi)",100,240,499,399,95,18
spotting-scopes,"Maven S.2 12-27x56",1050,1850,5098,386,95,10
smart-bulbs,"Wyze Bulb Color",12,18,60,380,95,15
wine-coolers,"NewAir AB-1200 126-Can Freestanding Beverage Fridge",340,709,1599,370,95,18
bookshelf-speakers,"Q Acoustics 3020i",350,580,1600,357,95,9
water-flossers,"h2ofloss HF-9",44,90,200,356,68,11
smart-bike-trainers,"Cycplus R200",399,900,1800,351,95,11
water-softeners,"Fleck 5600SXT 48,000 Grain Metered Water Softener",799,630,3441,331,95,18
dog-gps-trackers,"PetFon 2",235,99,999,325,52,7
meat-grinders,"STX International Turboforce 3000 Series Electric Meat Grinder",180,360,760,323,95,12
smart-plugs,"SwitchBot Plug Mini",12,31,50,317,95,12
electric-smokers,"Dyna-Glo DGU505BAE-D 30"" Analog Electric Smoker",170,272,700,312,95,18
wireless-chargers,"Apple MagSafe Charger (1 m) — Qi2 25W (2025)",39,114,159,308,95,18
binoculars,"Nikon ProStaff P7 8x42",180,340,730,306,95,15
induction-ranges,"Samsung Bespoke AI 6.3 cu. ft. Slide-In Induction Range",3399,3399,13690,303,85,9
smartwatches,"COROS Pace 3",199,350,799,302,92,17
adjustable-dumbbells,"ProForm Rapid Strike 50 Lb. Adjustable Dumbbell Set",299,585,1196,300,95,16
instant-cameras,"Canon IVY CLIQ+2",150,150,600,300,95,12
beard-trimmers,"Philips Norelco Multigroom 7000 MG7750/49",60,80,230,283,95,13
reciprocating-saws,"ONE+ 18V Cordless Reciprocating Saw P519",79,159,299,278,95,11
exercise-bikes,"ProForm Studio Bike Pro 22",1299,1695,4850,273,95,19
food-dehydrators,"NESCO FD-1040 Gardenmaster Digital Pro Food Dehydrator",150,155,550,267,95,12
bidet-toilet-seats,"Bio Bidet BB-2000 Bliss",549,549,2005,265,95,17
dive-computers,"Oceanic Geo 4.0",440,519,1600,264,95,10
adjustable-beds,"DreamCloud Adjustable Base",749,1424,2699,260,95,8
portable-solar-panels,"BougeRV 200W Portable Solar Panel",280,399,1000,257,55,7
internal-ssds,"WD_Black SN8100",180,240,640,256,80,9
trail-cameras,"Spypoint Flex-S",170,155,600,253,60,18
sous-vide-machines,"VacMaster SV1",200,150,700,250,76,17
synthesizers,"Elektron Digitone II",999,2500,3500,250,95,10
wood-routers,"Milwaukee M18 FUEL 2723-20",229,249,799,249,95,9
grow-lights,"Spider Farmer SE5000",410,803,1399,241,95,10
dj-controllers,"Pioneer DDJ-FLX6-GT",649,674,2199,239,95,18
laser-engravers,"Creality Falcon2 Pro 60W",1804,1444,5999,233,89,12
wifi-routers,"TP-Link Archer BE800",450,290,1500,233,95,12
patio-heaters,"Fire Sense 60523 Pyramid Flame 40,000 BTU Propane Patio Heater",630,279,2087,231,69,9
computer-monitors,"ASUS ROG Swift OLED PG27AQDP",1000,900,3299,230,95,18
garbage-disposals,"Waste King L-8000",171,125,558,226,81,15
rooftop-tents,"Smittybilt GEN2 Overlander",1500,2599,4895,226,73,6
smart-glasses,"Solos AirGo 3",249,399,799,221,95,11
ice-cream-makers,"Ninja CREAMi Deluxe 11-in-1 Ice Cream Maker NC501",250,240,800,220,56,12
radar-detectors,"Cobra RAD 700i",250,499,800,220,95,11
cold-plunge-tubs,"Cold Plunge Pro XL",5990,5990,18990,217,77,15
coffee-grinders,"Smart Grinder Pro",200,254,629,215,79,20
paint-sprayers,"Graco TrueCoat 360 (26D281)",259,389,814,214,67,8
